Year,IBM PC + clones,Apple II,Macintosh,Amiga,Atari 400/800,Atari ST,Commodore 64,TRS-80,NeXT,PET,Other,Altair,TOTAL,,Mac share,Amiga share,PC Share,Commodore 64,Apple II,Atari ST,Year,PET,TRS-80,Atari 400/800,Altair,Apple II,Others,Commodore 64,Macintosh,Amiga,Atari ST,IBM PC + clones,,Smartphones,,Tablets
1975,0,0,0,0,0,0,0,0,0,0,0,5,5,,,,,,,,1975,0.00,0.00,0.00,100.00,,0.00,0,0,0,0,0,,,,
1976,0,0,0,0,0,0,0,0,0,0,40,6,46,,,,,,,,1976,0.00,0.00,0.00,13.04,,86.96,0,0,0,0,0,,,,
1977,0,0.6,0,0,0,0,0,100,0,4,50,10,150,,,,,,0.40%,,1977,2.67,66.67,0.00,6.67,0.40,33.33,0,0,0,0,0,,,,
1978,0,7.6,0,0,0,0,0,150,0,30,100,4,258,,,,,,2.95%,,1978,11.63,58.14,0.00,1.55,2.95,38.76,0,0,0,0,0,,,,
1979,0,35,0,0,100,0,0,200,0,45,200,0,580,,,,,,6.03%,,1979,7.76,34.48,17.24,0.00,6.03,34.48,0,0,0,0,0,,,,
1980,0,78,0,0,200,0,0,290,0,90,424,,724,,,,,,10.77%,,1980,12.43,40.06,27.62,0.00,10.77,58.56,0,0,0,0,0,,,,
1981,35,210,0,0,300,0,0,250,0,40,605,,1400,,,,2.50%,,15.00%,,1981,2.86,17.86,21.43,0.00,15.00,43.21,0,0,0,0,2.5,,,,
1982,240,279,0,0,600,0,200,300,0,10,1181,,2800,,,,8.57%,7.14%,9.96%,,1982,0.36,10.71,21.43,0.00,9.96,42.18,7.14285714285714,0,0,0,8.57142857142857,,,,
1983,1300,420,0,0,500,0,2000,200,0,0,500,,4920,,,,26.42%,40.65%,8.54%,,1983,0.00,4.07,10.16,0.00,8.54,10.16,40.650406504065,0,0,0,26.4227642276423,,,,
1984,2000,1000,372,0,200,0,2500,50,0,0,200,,6322,,6%,,31.64%,39.54%,15.82%,,1984,0.00,0.79,3.16,0.00,15.82,3.16,39.5444479595065,5.88421385637457,0,0,31.6355583676052,,,,
1985,3700,900,200,100,100,100,2500,10,0,0,0,,7610,,2.60%,1.31%,48.62%,32.85%,11.83%,1.31%,1985,0.00,0.13,1.31,0.00,11.83,0.00,32.8515111695138,2.6281208935611,1.31406044678055,1.31406044678055,48.6202365308804,,,,
1986,5020,700,380,200,0,200,2500,0,0,0,0,,9000,,4.20%,2.22%,55.78%,27.78%,7.78%,2.22%,1986,0.00,0.00,0.00,0.00,7.78,0.00,27.7777777777778,4.22222222222222,2.22222222222222,2.22222222222222,55.7777777777778,,,,
1987,5950,500,550,300,0,400,1500,0,0,0,0,,9200,,6%,3.26%,64.67%,16.30%,5.43%,4.35%,1987,0.00,0.00,0.00,0.00,5.43,0.00,16.304347826087,5.97826086956522,3.26086956521739,4.34782608695652,64.6739130434783,,,,
1988,11900,200,900,400,0,350,1250,0,12,0,0,,15000,,6%,2.67%,79.33%,8.33%,1.33%,2.33%,1988,0.00,0.00,0.00,0.00,1.33,0.00,8.33333333333333,6,2.66666666666667,2.33333333333333,79.3333333333333,,,,
1989,17550,200,1100,600,0,300,1250,0,12,0,0,,21000,,5%,2.86%,83.57%,5.95%,0.95%,1.43%,1989,0.00,0.00,0.00,0.00,0.95,0.00,5.95238095238095,5.23809523809524,2.85714285714286,1.42857142857143,83.5714285714286,,,,
1990,16838,100,1300,750,0,300,700,0,12,0,0,,20000,,5%,3.75%,84.19%,3.50%,0.50%,1.50%,1990,0.00,0.00,0.00,0.00,0.50,0.00,3.5,6.5,3.75,1.5,84.19,,,,
1991,14399,100,2100,1035,0,300,800,0,16,0,0,,18750,,11.20%,5.52%,76.79%,4.27%,0.53%,1.60%,1991,0.00,0.00,0.00,0.00,0.53,0.00,4.26666666666667,11.2,5.52,1.6,76.7946666666667,,,,
1992,18300,100,2500,390,0,120,300,0,10,0,0,,20800,,12%,1.88%,87.98%,1.44%,0.48%,0.58%,1992,0.00,0.00,0.00,0.00,0.53,0.00,1.44230769230769,12.0192307692308,1.875,0.576923076923077,87.9807692307692,,,,
1993,27750,30,3300,155,0,30,175,0,5,0,0,,31050,,10%,0.50%,89.37%,0.56%,0.10%,0.10%,1993,0.00,0.00,0.00,0.00,0.53,0.00,0.563607085346216,10.6280193236715,0.499194847020934,0.096618357487923,89.3719806763285,,,,
